  SAMPLE,LOCALITY,REGION,STATE,STYLE,ZONE
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
Aberfoyle_1,Aberfoyle,Northeast Tasmania,TAS,Vein,Main
